 890    1 1.77247 2.61198 3.53261 4.54004 5.63791 6.82920
 900    1 1.76336 2.58964 3.49317 4.47961 5.55253 6.71482
 910    1 1.75448 2.56794 3.45495 4.42118 5.47015 6.60463
 920    1 1.74582 2.54686 3.41791 4.36467 5.39061 6.49842
 930    1 1.73737 2.52636 3.38199 4.30999 5.31379 6.39599
 940    1 1.72913 2.50643 3.34714 4.25706 5.23954 6.29715
 950    1 1.72108 2.48703 3.31333 4.20578 5.16776 6.20173
 960    1 1.71323 2.46816 3.28050 4.15611 5.09832 6.10956
 970    1 1.70557 2.44979 3.24861 4.10795 5.03112 6.02050
 980    1 1.69808 2.43190 3.21764 4.06126 4.96606 5.93439
 990    1 1.69076 2.41447 3.18753 4.01595 4.90304 5.85110
1000    1 1.68361 2.39749 3.15826 3.97199 4.84198 5.77051
1010    1 1.67662 2.38094 3.12979 3.92930 4.78279 5.69249
1020    1 1.66979 2.36480 3.10209 3.88785 4.72539 5.61692
1030    1 1.66311 2.34906 3.07513 3.84757 4.66970 5.54371
1040    1 1.65657 2.33371 3.04888 3.80842 4.61565 5.47274
1050    1 1.65018 2.31872 3.02332 3.77036 4.56318 5.40393
1060    1 1.64392 2.30410 2.99842 3.73335 4.51221 5.33718
1070    1 1.63779 2.28982 2.97416 3.69733 4.46270 5.27240
1080    1 1.63180 2.27587 2.95051 3.66229 4.41457 5.20952
1090    1 1.62593 2.26225 2.92745 3.62817 4.36778 5.14845
1100    1 1.62017 2.24894 2.90496 3.59494 4.32228 5.08912
1110    1 1.61454 2.23593 2.88302 3.56257 4.27801 5.03147
1120    1 1.60902 2.22321 2.86161 3.53103 4.23493 4.97543
1130    1 1.60361 2.21078 2.84071 3.50029 4.19298 4.92093
1140    1 1.59830 2.19862 2.82031 3.47032 4.15214 4.86791
1150    1 1.59310 2.18672 2.80038 3.44109 4.11236 4.81632
1160    1 1.58800 2.17508 2.78092 3.41258 4.07360 4.76611
1170    1 1.58300 2.16369 2.76190 3.38476 4.03582 4.71722
1180    1 1.57810 2.15254 2.74331 3.35761 3.99899 4.66961
1190    1 1.57328 2.14162 2.72514 3.33110 3.96307 4.62322
1200    1 1.56856 2.13093 2.70738 3.30521 3.92803 4.57801
1210    1 1.56393 2.12045 2.69001 3.27993 3.89385 4.53395
1220    1 1.55938 2.11019 2.67301 3.25523 3.86049 4.49098
1230    1 1.55491 2.10014 2.65638 3.23109 3.82792 4.44908
1240    1 1.55052 2.09029 2.64011 3.20749 3.79612 4.40820
1250    1 1.54622 2.08063 2.62419 3.18443 3.76507 4.36830
1260    1 1.54199 2.07116 2.60859 3.16187 3.73473 4.32937
1270    1 1.53783 2.06188 2.59333 3.13981 3.70508 4.29136
1280    1 1.53375 2.05277 2.57837 3.11822 3.67611 4.25423
1290    1 1.52973 2.04384 2.56372 3.09710 3.64778 4.21798
1300    1 1.52579 2.03508 2.54937 3.07643 3.62008 4.18255
1310    1 1.52191 2.02648 2.53531 3.05620 3.59300 4.14793
1320    1 1.51810 2.01804 2.52152 3.03639 3.56650 4.11410
1330    1 1.51436 2.00976 2.50801 3.01699 3.54057 4.08102
1340    1 1.51067 2.00162 2.49476 2.99799 3.51520 4.04867
1350    1 1.50705 1.99364 2.48176 2.97937 3.49037 4.01703
1360    1 1.50348 1.98580 2.46902 2.96113 3.46606 3.98608
1370    1 1.49998 1.97810 2.45651 2.94325 3.44225 3.95579
1380    1 1.49653 1.97053 2.44424 2.92573 3.41893 3.92615
1390    1 1.49314 1.96310 2.43221 2.90855 3.39609 3.89714
1400    1 1.48980 1.95579 2.42039 2.89170 3.37371 3.86873
1410    1 1.48651 1.94862 2.40879 2.87518 3.35179 3.84092
1420    1 1.48327 1.94156 2.39740 2.85898 3.33029 3.81367
1430    1 1.48009 1.93463 2.38622 2.84308 3.30922 3.78698
1440    1 1.47695 1.92781 2.37524 2.82748 3.28857 3.76083
1450    1 1.47386 1.92111 2.36446 2.81217 3.26831 3.73520
1460    1 1.47082 1.91451 2.35386 2.79715 3.24844 3.71008
1470    1 1.46783 1.90803 2.34345 2.78240 3.22895 3.68546
1480    1 1.46488 1.90165 2.33322 2.76792 3.20983 3.66131
1490    1 1.46197 1.89537 2.32316 2.75369 3.19106 3.63763
1500    1 1.45911 1.88920 2.31328 2.73973 3.17265 3.61441
